location,total_cases,new_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,stringency_index,population_density,gdp_per_capita,year
Mongolia,444495.88289112534,868.8793103448276,3090052.6044568247,3865411.1639344264,1877196.012539185,991639.8023255814,43.87631627906977,1.9800000000000002,11840.846,2021.114655172414
Montenegro,140425.57918968692,249.03192407247627,,463948.79793814436,219716.85773195876,95322.35981308411,,46.28,16409.288,2021.114655172414
Montserrat,377.68542435424354,1.2094827586206895,,3292.653846153846,1637.1346153846155,512.9444444444445,,,,2021.114655172414
Morocco,725812.6693914623,1096.9741379310344,5200850.776,27363281.726618703,14907204.003831418,6507465.560975609,54.84648372093023,80.08,7485.013,2021.114655172414
Mozambique,126115.24166666667,201.04655172413794,433800.9756493507,8574433.0,6913177.75,534908.8965517242,44.69516279069768,37.728,1136.103,2021.114655172414
Myanmar,345959.25857275253,546.5060344827587,2198966.3136531366,33448101.818181816,18830050.833333332,1418472.2352941176,64.97950697674419,81.721,5591.597,2021.114655172414
Namibia,95735.87132352941,147.54827586206898,401652.28438948997,286087.1845238095,198062.2183908046,98657.3125,35.90220465116279,3.078,9541.808,2021.114655172414
Nauru,3479.03550295858,4.5232758620689655,,13727.666666666666,7361.333333333333,5510.2,,682.45,12895.635,2021.114655172414
Nepal,571522.9552631578,863.8067299396031,2729420.2977893366,24150217.680851065,13049037.821052631,3985596.1550387596,50.460688372093024,204.43,2442.804,2021.114655172414
Netherlands,3642823.525362319,7431.445116681071,13969665.834666668,22002668.24137931,9745636.48275862,6847516.104166667,43.734911627906975,508.54400000000004,48472.545,2021.1195184866724
New Caledonia,26642.70848708487,68.9801724137931,,306484.6979166667,138160.06451612903,95199.13157894737,,15.342,,2021.114655172414
New Zealand,520620.47735507245,1877.9111302847282,2172494.3943217667,7704209.390309555,3170522.790040377,1730500.3705799151,35.50019534883721,18.206,36085.843,2021.114655172414
Nicaragua,9307.991689750692,13.495689655172415,187912.18181818182,8995155.542553192,4788736.827956989,2976531.0,11.555302325581396,51.667,5321.444,2021.114655172414
Niger,5804.319188191882,8.200862068965517,237662.6551724138,2209176.45,1817719.6585365853,,21.683088372093025,16.955,926.0,2021.114655172414
Nigeria,170011.56572982774,229.8258620689655,1137039.2961672475,16645427.129770992,11396541.656488549,3363109.6818181816,41.577841860465114,209.588,5338.454,2021.114655172414
Niue,183.9366391184573,0.6439655172413793,,2266.0,995.8333333333334,1157.0,,,,2021.114655172414
North America,55310434.02537183,105784.61034482758,,740222884.4315404,337936503.6136919,123436734.11372548,,,,2021.1195184866724
North Korea,,0.0,58801.90625,,,,,211.701,,2021.114655172414
North Macedonia,182377.65189873418,299.0103448275862,498532.5770020534,947571.1695906433,485047.26875,95739.23333333334,,82.6,13111.214,2021.114655172414
Northern Cyprus,,,,257417.66666666666,142994.45833333334,55148.0,,,,2021.4905933429811
Northern Ireland,,,,3012089.329787234,1197515.3279220778,757847.996226415,,,,2021.1649954421148
Northern Mariana Islands,4759.215284249767,11.766379310344828,32323.12271973466,,,,,119.87800000000001,,2021.114655172414
Norway,579298.964028777,1275.2870689655172,5321128.215782984,7397237.345272207,3216165.4369627507,1698620.1853741496,36.326102325581395,14.461999999999998,64800.057,2021.114655172414
Oceania,3696693.858523726,12106.464655172414,,51208598.90825688,21181409.288335517,11746367.734922862,,,,2021.114655172414
Oman,246093.92502258357,344.65314926660915,2001401.0,2091912.1958762887,914017.1555555556,707850.2666666667,47.18179534883721,14.979999999999999,37960.709,2021.114655172414
Pakistan,970927.3553345389,1359.6663793103448,10715132.322533136,183226642.55807364,100320759.0787172,25854446.74747475,53.27613953488372,255.573,5034.708,2021.114655172414
Palau,3657.400355871886,5.164655172413793,52363.82352941176,,,,,47.237,13240.405,2021.114655172414
Palestine,382565.3761384335,606.2310344827587,,1403305.8505747127,790393.1666666666,229709.95652173914,52.64634418604651,778.202,4449.898,2021.114655172414
Panama,507971.9578754579,890.9594127806563,2439324.7994923857,4260046.708955224,1941548.1893939395,1296954.393939394,50.945702325581394,55.133,22267.037,2021.114655172414
Papua New Guinea,23058.70794824399,40.366379310344826,249149.0,434444.19696969696,240030.0606060606,28643.0,46.08179534883721,18.22,3823.194,2021.114655172414
Paraguay,388742.67915904935,634.2318965517242,1021678.6787634408,2871208.9307692307,1411872.955465587,1292633.06779661,44.5332,17.144,8827.01,2021.114655172414
Peru,2265433.131386861,3871.2959447799826,11343546.385674931,51564712.651315786,20766972.242105264,18021928.259765625,54.66253953488373,25.129,12236.706,2021.1195184866724
Philippines,2004686.6987632508,3514.7491379310345,12197108.965699209,62788987.28125,24742196.365671642,11281225.208333334,59.62429767441861,351.873,7599.188,2021.114655172414
Pitcairn,4.0,0.0034482758620689655,,77.5,47.0,23.0,,,,2021.114655172414
Poland,3303977.999090082,5549.6534482758625,15680071.285714285,41718716.109550565,18450712.672804534,11912343.971982758,40.56962790697674,124.02700000000002,27216.445,2021.1211340206185
Portugal,2165420.0899182563,4810.428324697755,14002798.810449574,17789367.327433627,7656267.123893805,3685570.5535714286,44.55382325581395,112.371,27936.896,2021.114655172414
Puerto Rico,365986.4917582418,948.3818965517241,1087177.0929678187,,,,,376.232,35044.67,2021.114655172414
Qatar,254674.23662737987,426.4974137931035,3992250.6304347827,4630099.029885057,1984388.0297619049,1528056.9568345323,53.51575813953489,227.322,116935.6,2021.114655172414
Reunion,172757.2862385321,426.375,,,,,,,,2021.114655172414
Romania,1583132.6582278481,2889.5043177892917,7521752.394230769,10367642.849340865,3147991.4763636366,,43.38778604651163,85.129,23313.199,2021.114655172414
Russia,9439235.42844523,19279.08620689655,99827142.51462995,105166758.36324786,52987246.462039046,10923831.186311787,42.02199069767442,8.823,24765.954,2021.122746781116
Rwanda,71054.60569852941,114.90940465918895,2111870.4992614477,8614276.218390804,3604292.159090909,4033800.75,54.76701395348837,494.869,1854.2110000000002,2021.114655172414
Saint Barthelemy,2238.82347588717,4.69051724137931,,,,,,,,2021.114655172414
Saint Helena,1657.1415094339623,1.8672413793103448,,4038.8333333333335,3263.3333333333335,,,,,2021.114655172414
Saint Kitts and Nevis,2752.168215613383,5.687068965517241,52713.52229299363,41973.34210526316,22941.930555555555,2268.6315789473683,,212.865,24654.385,2021.114655172414
