location,total_cases,new_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,stringency_index,population_density,gdp_per_capita,year
Gambia,7772.0184501845015,10.860344827586207,113294.03896103895,288084.9512195122,221101.14285714287,17821.85714285714,33.52602790697675,207.566,1561.767,2021.114655172414
Georgia,810993.3598553345,1575.4629310344828,5650205.013544018,1660760.4097222222,935043.9581881533,80818.0,45.29059534883721,65.032,9745.079,2021.114655172414
Germany,11781849.00345125,32949.70948275862,56176681.18644068,129647314.58084577,51638351.33955224,38710864.80389222,46.97628837209302,237.01600000000002,45229.245,2021.122746781116
Ghana,108017.61503208066,147.56206896551726,918668.8809980806,8672338.05357143,5758711.423728813,1321001.2962962964,43.41323720930233,126.71899999999998,4227.63,2021.114655172414
Gibraltar,8960.98090909091,17.614655172413794,524659.75,73259.80384615385,33765.51361867704,20574.34234234234,,3457.1,,2021.114655172414
Greece,1796852.4063348416,5083.437931034483,15107963.278592376,15149574.846938776,6224016.880102041,5135216.187845304,54.10451162790697,83.479,24574.382,2021.1211340206185
Greenland,4727.477419354838,10.319827586206896,,47799.023255813954,27330.65625,,31.381627906976743,0.137,,2021.114655172414
Grenada,7481.389814814815,16.96551724137931,156649.84,61059.42307692308,32182.30769230769,6564.377777777778,29.435287356321837,317.132,13593.877,2021.114655172414
Guadeloupe,76812.36580882352,174.0396551724138,,,,,,,,2021.114655172414
Guam,21049.78821362799,43.852586206896554,126128.80458383595,,,,,304.128,,2021.114655172414
Guatemala,527860.4926470588,1067.823123382226,1323064.0108108108,7647572.551470588,4162710.2034313725,2193836.8854961833,54.49924651162791,157.834,7423.807999999999,2021.114655172414
Guernsey,11105.352511415525,30.16465517241379,,97269.59130434782,33140.09090909091,62601.0,,,,2021.114655172414
Guinea,24818.85123966942,32.98879310344827,683095.7857142857,2299310.288235294,1391212.4,138081.0,53.79129302325581,51.755,1998.9260000000002,2021.114655172414
Guinea-Bissau,5365.05199628598,7.724137931034483,134547.91304347827,353537.67346938775,329613.0408163265,430.57142857142856,,66.191,1548.675,2021.114655172414
Guyana,34058.18990825688,62.99568965517241,289503.0,575178.5714285715,345960.4621212121,52932.02127659575,53.20850232558139,3.952,7435.047,2021.114655172414
Haiti,20434.72458410351,29.48448275862069,191747.0,169161.56097560975,119510.08536585367,,45.01238139534883,398.448,1653.173,2021.114655172414
High income,151210385.2502157,359270.25,,1779238247.788207,750311209.2490975,377000583.3333333,,,,2021.122746781116
Honduras,276015.2126489459,408.8649350649351,,7713774.095744681,3529246.1139240507,2757172.025,64.07542325581396,82.805,4541.795,2021.114655172414
Hong Kong,,,15606338.290322581,12265829.674829932,5001687.269387756,2865477.8934911243,59.16669793621013,7039.714,56054.92,2021.1389380530973
Hungary,1036951.5063752277,1893.0396551724139,3774509.573508006,5473546.18404908,4751045.260416667,2918890.773869347,35.77410232558139,108.043,26777.561,2021.114655172414
Iceland,74193.92837715322,180.29051724137932,487039.796912114,365792.8450704225,185119.29577464788,138787.35714285713,31.112120930232557,3.404,46482.958,2021.114655172414
India,25593151.994704325,38624.99654278306,366022136.2728395,1345552057.8784313,718614908.2261438,123101833.99514563,58.995581395348836,450.419,6426.674,2021.122746781116
